year,teamId,team,classification,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties,neutralSiteGames.games,neutralSiteGames.wins,neutralSiteGames.losses,neutralSiteGames.ties,regularSeason.games,regularSeason.wins,regularSeason.losses,regularSeason.ties,postseason.games,postseason.wins,postseason.losses,postseason.ties
2025,2011,Alabama State,fcs,SWAC,East,8.676347081549466,12,10,2,0,9,8,1,0,5,5,0,0,6,4,2,0,1,1,0,0,12,10,2,0,0,0,0,0
2025,241,McMurry,iii,Southern Collegiate Athletic,,,10,6,4,0,5,4,1,0,5,3,2,0,4,2,2,0,1,1,0,0,10,6,4,0,0,0,0,0
2025,3101,Utah Tech,fcs,UAC,,2.676872916519642,12,2,10,0,8,1,7,0,6,2,4,0,6,0,6,0,0,0,0,0,12,2,10,0,0,0,0,0
2025,583,Northwestern (MN),iii,Upper Midwest,,,10,4,6,0,7,4,3,0,4,1,3,0,6,3,3,0,0,0,0,0,10,4,6,0,0,0,0,0
2025,147,Montana State,fcs,Big Sky,,13.201582562178373,16,14,2,0,8,8,0,0,10,9,1,0,5,4,1,0,1,1,0,0,14,12,2,0,2,2,0,0
2025,367,Gannon,ii,Pennsylvania State Athletic,Western,,11,1,10,0,9,1,8,0,6,1,5,0,5,0,5,0,0,0,0,0,11,1,10,0,0,0,0,0
2025,2032,Arkansas State,fbs,Sun Belt,West,5.233487401157618,13,7,6,0,8,5,3,0,6,3,3,0,5,3,2,0,2,1,1,0,12,6,6,0,1,1,0,0
2025,222,Villanova,fcs,CAA,,10.202784802764654,15,12,3,0,8,7,1,0,8,7,1,0,7,5,2,0,0,0,0,0,14,12,2,0,1,0,1,0
2025,2045,Austin,iii,Southern Collegiate Athletic,,,9,3,6,0,6,3,3,0,5,1,4,0,3,1,2,0,1,1,0,0,9,3,6,0,0,0,0,0
2025,2003,Adrian,iii,Michigan,,0.7026592493057251,10,8,2,0,7,5,2,0,5,4,1,0,5,4,1,0,0,0,0,0,10,8,2,0,0,0,0,0
2025,2685,Wartburg,iii,American Rivers,,,11,10,1,0,8,8,0,0,6,5,1,0,5,5,0,0,0,0,0,0,11,10,1,0,0,0,0,0
2025,2745,Wisconsin-Whitewater,iii,Wisconsin,,,11,8,3,0,7,5,2,0,6,4,2,0,4,3,1,0,1,1,0,0,10,8,2,0,1,0,1,0
2025,2264,Harding University,ii,Great American,,,16,15,1,0,11,11,0,0,8,8,0,0,7,7,0,0,1,0,1,0,14,14,0,0,2,1,1,0
2025,417,Gallaudet,iii,Old Dominion,,,9,1,8,0,0,0,0,0,5,1,4,0,3,0,3,0,1,0,1,0,9,1,8,0,0,0,0,0
2025,548,Lagrange College,iii,USA South,,,12,10,2,0,7,7,0,0,6,5,1,0,5,4,1,0,1,1,0,0,11,9,2,0,1,1,0,0
2025,271,Wisconsin-Oshkosh,iii,Wisconsin,,,10,5,5,0,7,3,4,0,4,3,1,0,6,2,4,0,0,0,0,0,10,5,5,0,0,0,0,0
2025,2369,Mars Hill,ii,South Atlantic,,,11,5,6,0,9,4,5,0,7,4,3,0,4,1,3,0,0,0,0,0,11,5,6,0,0,0,0,0
2025,2033,Arkansas Tech,ii,Great American,,,12,7,5,0,11,7,4,0,6,4,2,0,5,3,2,0,1,0,1,0,12,7,5,0,0,0,0,0
2025,164,Rutgers,fbs,Big Ten,,5.43767598643899,12,5,7,0,9,2,7,0,7,4,3,0,5,1,4,0,0,0,0,0,12,5,7,0,0,0,0,0
2025,2757,Berry College,iii,Southern Athletic,,,13,11,2,0,6,6,0,0,6,6,0,0,7,5,2,0,0,0,0,0,13,11,2,0,0,0,0,0
2025,2782,Cortland,iii,Empire 8,,,11,8,3,0,6,6,0,0,5,4,1,0,6,4,2,0,0,0,0,0,10,8,2,0,1,0,1,0
2025,2634,Tennessee State,fcs,Big South-OVC,,3.052211858332157,12,2,10,0,8,0,8,0,8,2,6,0,4,0,4,0,0,0,0,0,12,2,10,0,0,0,0,0
