rank_v2,team,power_index_v2,team_strength_rating,strength_rank,prior_year_team_quality_score,returning_production_score,offense_returning_production,defense_returning_production,qb_score,qb_status,projected_qb,transfer_impact_score,transfer_count,projected_transfer_starters,recruiting_talent_score,coaching_continuity_score,schedule_strength_score,avg_opponent_rating,road_games,context_score
20,Utah,58.008547173291305,58.80367153260365,20,62.759548878760256,50.0,,,51.11256345637685,2025 starter (returning TBD),Devon Dampier,44.68549529532654,16.0,0.0,73.06985880136884,85.0,42.901184346356516,50.221387452992055,5,50
21,South Carolina,57.57854746201642,58.3274446754336,21,50.663918920870856,68.0,,,44.41235950211609,2025 starter (returning TBD),Lanorris Sellers,47.28271066669602,25.0,0.0,82.13683265541981,85.0,43.34950040708993,50.482279064231605,5,50
22,Cincinnati,57.4783717714173,58.084801367574606,23,59.964133620291705,50.0,,,57.50143129352054,2025 starter (returning TBD),Brendan Sorsby,46.487224274581706,22.0,0.0,64.92775436766428,85.0,45.95620944442851,51.99921896522781,5,50
23,Missouri,57.46602433723538,58.221843428910255,22,61.371633670288894,50.0,,,41.55743698492178,2025 starter (returning TBD),Beau Pribula,49.39406687661333,30.0,0.0,80.67975433764596,85.0,43.105461595412876,50.34026390046688,5,50
24,Nebraska,56.85291597792542,57.17937284632417,25,44.30799898867773,69.0,,,54.92784812663108,2025 starter (returning TBD),Dylan Raiola,46.797337400589704,16.0,0.0,78.64411303395072,85.0,50.650235478349146,54.73084542801063,5,50
25,Arizona,56.634924692675554,57.085956429108705,26,56.743453177274745,50.0,,,57.938746851525764,2025 starter (returning TBD),Noah Fifita,44.90487087319486,23.0,0.0,68.47891607630655,85.0,48.06532170044583,53.22658899042224,5,50
26,Old Dominion,56.57694604301898,57.507144079175504,24,67.93957333615558,50.0,,,50.75643181474825,2025 starter (returning TBD),Colton Joseph,41.01952055268425,15.0,0.0,40.127654181550746,85.0,38.90318335604495,46.439961586996496,6,50
27,BYU,55.95458071653029,56.258026160600615,29,57.709091029720035,50.0,,,48.390301382187786,2025 starter (returning TBD),Bear Bachmeier,47.21477282284178,9.0,0.0,65.85786930027317,85.0,50.18911727919422,54.46250378137722,5,50
28,Wake Forest,55.85563265154512,56.46566086155142,28,62.934634667308956,50.0,,,38.28245650000214,2025 starter (returning TBD),Robby Ashford,44.56671519390284,24.0,0.0,63.93361731906464,85.0,44.26509666142553,49.560256227520966,6,50
29,Baylor,55.473019835134835,55.826385683982565,34,53.470685426621145,50.0,,,54.05801979179262,2025 starter (returning TBD),Sawyer Robertson,47.40230108700699,31.0,0.0,70.53917520937773,85.0,48.759068707027915,52.175463913644606,6,50
30,Louisville,55.45104310551342,55.94824875767702,31,57.54308649110715,50.0,,,44.813390125763355,2025 starter (returning TBD),Miller Moss,48.108587155985646,33.0,0.0,67.15363146519377,85.0,46.00413571440498,50.572267039264105,6,50
31,UConn,55.43072212424514,56.563157657485064,27,57.132167377326255,50.0,,,69.32304702284418,2025 starter (returning TBD),Joe Fagnano,49.010894542870574,53.0,0.0,38.36107619397833,85.0,33.91444699268666,44.99167432571747,5,50
32,TCU,55.22105818899153,55.86987702164058,33,51.93703016121756,50.0,,,57.52916775584119,2025 starter (returning TBD),Josh Hoover,44.46897087940215,12.0,0.0,76.22531744364062,85.0,42.89350036865956,51.671757849522265,4,50
33,Texas State,55.202370087540295,55.960091198960754,30,58.3171883831476,50.0,,,60.19840549353734,2025 starter (returning TBD),Brad Jackson,46.92343725511263,17.0,0.0,42.31147900219134,85.0,40.80566897055169,49.92773848915016,4,50
34,Maryland,55.173079581709715,55.93403593212772,32,46.53232594841663,71.0,,,40.66632809381287,2025 starter (returning TBD),Malik Washington,43.00384985142693,14.0,0.0,75.25844621469096,85.0,40.71490892376754,48.94911334200089,5,50
35,Duke,54.98762127988485,55.55824789070838,36,49.63972623115683,50.0,,,66.22324204981406,2025 starter (returning TBD),Darian Mensah,45.65617188991404,19.0,0.0,68.05031350373729,85.0,44.14571567423764,49.490784038530315,6,50
36,East Carolina,54.75449344258385,55.59252341408854,35,55.30419900288917,50.0,,,55.47742020206523,2025 starter (returning TBD),Katin Houser,47.72409284115825,23.0,0.0,57.20909855011557,85.0,38.8319239839948,46.39849313645812,6,50
37,Georgia Tech,54.64378074495,55.28454078532897,37,51.47255528996103,50.0,,,54.38544191891048,2025 starter (returning TBD),Haynes King,48.1340112250941,19.0,0.0,71.44081552246871,85.0,42.46933997774951,49.9700813254661,5,50
38,NC State,54.43838007723261,55.05078600795627,39,50.840750591137954,50.0,,,55.98351665238075,2025 starter (returning TBD),CJ Bailey,46.371725207907105,20.0,0.0,71.23486851979708,85.0,42.802667393483,50.16405681324755,5,50
39,Virginia,54.385796839061335,55.18870226048113,38,57.13945748919324,50.0,,,45.398095368683606,2025 starter (returning TBD),Chandler Morris,47.29318968363088,30.0,0.0,60.04208267042897,85.0,39.13059383208525,48.027142096304416,5,50
40,Ole Miss,54.25831375444451,54.82550613234782,41,61.61070287710021,50.0,,,59.34559028980936,2025 starter (returning TBD),Trinidad Chambliss,53.881022828305284,28.0,0.0,81.38639626422119,0.0,43.481658574281916,52.014028750273745,4,50
41,Clemson,54.12242059404182,54.96968824133799,40,49.645746841900696,50.0,,,51.40960583252672,2025 starter (returning TBD),Cade Klubnik,43.30400224601472,11.0,0.0,86.19549387626454,85.0,38.02433529541473,47.383369549750256,5,50
42,Illinois,53.916130690293116,54.70387722628512,42,49.377706590790346,50.0,,,58.97023356404695,2025 starter (returning TBD),Luke Altmyer,45.56198906442928,19.0,0.0,70.048239050821,85.0,38.948946506445,49.37627681979782,4,50
43,North Texas,53.681185521309196,54.36215192565366,43,65.40342238720392,50.0,,,72.73537522878293,2025 starter (returning TBD),Drew Mestemaker,48.29890467686445,49.0,0.0,46.18388748386516,0.0,40.7428238387643,47.51051607226966,6,50
44,UNLV,53.56937509897477,54.12490974092866,45,54.05171450457741,50.0,,,57.6943801634471,2025 starter (returning TBD),Anthony Colandrea,46.05022230707022,15.0,0.0,44.02770408699307,85.0,43.01421690185111,48.832323270114905,6,50
45,Pittsburgh,53.503085213218554,54.22205830613943,44,54.713628241744594,50.0,,,45.4886009302845,2025 starter (returning TBD),Mason Heintschel,42.012797926905485,16.0,0.0,65.64092002371447,85.0,39.842596447721945,48.441482616018,5,50
46,Iowa,53.427292515765636,54.08797884375512,46,55.750081475514186,50.0,,,35.1735985447953,2025 starter (returning TBD),Mark Gronowski,42.759871429877236,15.0,0.0,74.0529052096779,85.0,40.87425228396557,49.04184110623575,5,50
47,Southern Miss,53.29885603316668,53.83162344415229,48,51.57668331621096,50.0,,,54.880538494635864,2025 starter (returning TBD),Braylon Braxton,48.30465037107105,37.0,0.0,52.77591818509291,85.0,43.176275224439934,48.926630970860245,6,50
48,UCF,53.19071625720987,54.04896397350172,47,55.46399026984801,50.0,,,38.721386681832925,2025 starter (returning TBD),Tayven Jackson,45.35943181705792,31.0,0.0,66.27011996067601,85.0,36.88400964766493,46.71977209778181,5,50
49,Houston,53.14909146236751,53.748561909807705,49,51.057059166215474,50.0,,,49.72239080504801,2025 starter (returning TBD),Conner Weigman,44.864018691885285,18.0,0.0,66.10092925434515,85.0,41.75915296100384,48.101955383671935,6,50
50,San Diego State,53.13352974704389,53.70010949567886,50,57.16386937226711,50.0,,,35.5913950259792,2025 starter (returning TBD),Jayden Denegal,46.54236889760812,26.0,0.0,57.9068180965389,85.0,42.36851452297937,49.250115471764914,5,50
51,UTSA,53.101691473347145,53.62348552899458,51,51.43833065862628,50.0,,,56.787675419014164,2025 starter (returning TBD),Owen McCown,45.95396205001237,20.0,0.0,50.98722833428392,85.0,43.18760441604581,48.933223844305964,6,50
52,Sacramento State,52.70855036939788,53.32970696816727,52,60.686022153700996,50.0,,,45.74099317405605,2025 starter (returning TBD),Cardell Williams,46.152710666696024,25.0,0.0,23.361545230090357,85.0,40.90657499277935,47.60580889390856,6,50
53,Mississippi State,52.34256792745135,52.552034776263646,54,45.11699625489723,50.0,,,47.000675400776814,2025 starter (returning TBD),Blake Shapen,48.21396245840084,27.0,0.0,77.77508817878906,85.0,48.36269780001777,53.39964308452392,5,50
54,Michigan,52.07395807061618,52.46774591146544,55,53.48464695623755,63.0,,,40.86432257172622,2025 starter (returning TBD),Bryce Underwood,50.99077471641295,17.0,0.0,87.77420001200733,0.0,44.59198909448019,52.66017093386869,4,50
55,South Florida,51.98224634485881,52.833682976538796,53,60.854627995654766,50.0,,,64.23657230756622,2025 starter (returning TBD),Byrum Brown,49.53810947888034,44.0,0.0,59.13349255545884,0.0,35.804950342939115,46.09182778507438,5,50
56,Boise State,51.62517777376901,52.0163774665429,56,49.1734223129501,50.0,,,46.34744036671014,2025 starter (returning TBD),Maddux Madsen,42.16405009290466,11.0,0.0,62.20953662984421,85.0,44.19238361106511,50.31149200220254,5,50
57,Arizona State,51.521629825963146,51.94996038280947,57,49.06942066320587,50.0,,,39.59115315606188,2025 starter (returning TBD),Sam Leavitt,49.130311685130906,24.0,0.0,63.30244480383034,85.0,43.38334924588289,50.501976948971304,5,50
58,Washington State,51.2764600610421,51.441180137979124,58,49.36946989351668,50.0,,,37.55581887123469,2025 starter (returning TBD),Zevi Eckhaus,46.7095002719143,28.0,0.0,62.02697970762165,85.0,48.1467785992388,51.02559959698876,6,50
59,Navy,51.07377273597432,51.401547089537935,59,53.27160908428707,50.0,,,48.26334978971895,2025 starter (returning TBD),Blake Horvath,50.0,,,24.31005725992856,85.0,44.84606001826577,48.44349819515728,7,50
60,Central Michigan,50.82823023857924,51.39513884025536,60,48.864912657329064,50.0,,,51.65268650664187,2025 starter (returning TBD),Joey Labas,42.82642701975303,12.0,0.0,47.39621731756372,85.0,40.05696680673285,47.11139062966576,6,50
61,Fresno State,50.48411238319467,50.8781678693941,62,50.282029712735344,50.0,,,41.034788853247264,2025 starter (returning TBD),E.J. Warner,41.35441895240852,13.0,0.0,52.82415648545613,85.0,42.997058145405745,48.02878778427819,6,50
62,Ohio,50.422004749848035,51.02095169543552,61,51.20792194223663,50.0,,,41.72782153613797,2025 starter (returning TBD),Parker Navarro,48.38960348720692,18.0,0.0,40.63540622279591,85.0,39.042012783685884,46.520751539079534,6,50
63,Hawai'i,50.27306054527935,50.66481366405419,63,48.67480671066493,50.0,,,50.940253402220954,2025 starter (returning TBD),Micah Alejado,45.895199242694964,16.0,0.0,36.78800374478432,85.0,42.8297512885573,48.7249759424466,6,50
64,Western Kentucky,50.01995507817996,50.47290500036999,64,49.967414417826994,50.0,,,45.7389849276259,2025 starter (returning TBD),Maverick McIvor,41.93318020016335,19.0,0.0,41.608356159757456,85.0,41.41390655656948,46.446201811934934,7,50
65,North Carolina,50.00347943123664,49.915480761950434,71,40.443506388077346,50.0,,,40.76309683104815,2025 starter (returning TBD),Giovanni Lopez,46.24277783948605,20.0,0.0,78.73287605439319,85.0,51.67545414767454,53.87261590806824,6,50
66,Northwestern,49.74968688974886,49.84658709266542,73,45.3833994880084,50.0,,,34.655342966701994,2025 starter (returning TBD),Preston Stone,47.516316512078575,17.0,0.0,63.87243887521388,85.0,47.908583034334214,51.68053500763526,6,50
67,Penn State,49.728391065426564,50.468597547303915,65,56.43495225181464,50.0,,,39.3809993252184,2025 starter (returning TBD),Drew Allar,49.301805420857676,37.0,0.0,87.96292400864527,0.0,35.66446790975683,46.01007588824556,5,50
68,Kansas,49.66994813311822,49.96203728180711,70,42.46373303115548,50.0,,,51.02769497799923,2025 starter (returning TBD),Jalon Daniels,45.01944879498661,31.0,0.0,56.57950724942215,85.0,44.120254308029075,49.47596713269909,6,50
69,Arkansas,49.56646878338245,49.38813803514379,76,53.84016926934856,50.0,,,46.62648547080596,2025 starter (returning TBD),Taylen Green,47.95113465716075,41.0,0.0,77.30475208627263,0.0,52.95475299991707,56.07192896703901,5,50
70,Kennesaw State,49.54156063702348,50.29135419730715,66,49.93179223736811,50.0,,,56.540970636305325,2025 starter (returning TBD),Amari Odom,45.62782082012258,29.0,0.0,18.787008074925705,85.0,35.29548299163379,44.3405080019499,6,50
71,Rutgers,49.533035455220286,50.10101376515802,67,38.50647407448244,50.0,,,53.55661816209483,2025 starter (returning TBD),Athan Kaliakmanis,44.4984679211053,15.0,0.0,72.40070224086693,85.0,38.74144756640342,47.80068356591963,5,50
72,New Mexico,49.524604365856504,49.846669531628095,72,52.275301724764915,50.0,,,45.447692323452976,2025 starter (returning TBD),Jack Layne,45.66513458777197,15.0,0.0,19.846798922342632,85.0,43.40536621619639,49.05994744821783,6,50
73,Miami (OH),49.42760662075321,50.05403874143106,68,47.993007723256035,50.0,,,38.245487383925514,2025 starter (returning TBD),Dequan Finn,45.475791347958115,16.0,0.0,52.0843310044127,85.0,37.52539632787406,45.63817662052349,6,50
74,Louisiana Tech,49.42698272565549,49.990693766366064,69,47.91495607346519,50.0,,,42.52206228524687,2025 starter (returning TBD),Blake Baker,43.3303180354884,11.0,0.0,47.940564681956,85.0,38.71647295215463,46.33130793308447,6,50
75,San José State,49.17117037641414,49.49208439991761,75,45.545375418583085,50.0,,,45.50473681153194,2025 starter (returning TBD),Walker Eget,45.18117719319313,17.0,0.0,45.5989080839312,85.0,43.07380392984839,49.538464686116754,6,50
76,Florida International,48.971145321877245,49.61407540876978,74,47.823452088832646,50.0,,,38.9003494251973,2025 starter (returning TBD),Keyone Jenkins,44.020199242694964,16.0,0.0,48.43876939933359,85.0,36.75547367091917,45.19013029763648,6,50
77,Missouri State,48.78265032187281,49.294577660000016,77,48.36998351142966,50.0,,,54.04326887896868,2025 starter (returning TBD),Jacob Clark,44.943568011797694,19.0,0.0,18.385068516795243,85.0,39.056030897455905,46.52890919526971,6,50
78,Boston College,48.59339835123123,48.47147798859011,86,39.007305647269924,50.0,,,45.39300906440866,2025 starter (returning TBD),Dylan Lonergan,44.898138128377354,26.0,0.0,62.604652650616885,85.0,50.909885241412546,53.427103192902855,6,50
79,Memphis,48.5250009770207,48.97514751370647,79,54.07329553267601,50.0,,,51.30362464895933,2025 starter (returning TBD),Brendon Lewis,48.94480442715811,51.0,0.0,63.122766262420086,0.0,39.97221677999115,47.062071470782485,6,50
80,Iowa State,48.41951752773075,48.73303268495684,83,55.346972403459,50.0,,,43.705253727566095,2025 starter (returning TBD),Rocco Becht,46.338015718893274,48.0,0.0,69.33135862876355,0.0,42.46272954043515,49.96623446876611,5,50
81,Minnesota,48.40939016943999,48.81507561447128,82,38.24371875384871,50.0,,,43.18026046525032,2025 starter (returning TBD),Drake Lindsey,47.55506385667305,19.0,0.0,70.02353285504158,85.0,40.701366713845395,48.94123263177037,5,50
82,James Madison,48.39953626443783,48.83936127277615,80,62.24238167200357,50.0,,,48.49921708897368,2025 starter (returning TBD),Alonza Barnett,48.508775548880436,37.0,0.0,30.52220022964008,0.0,40.04286110600972,47.10318200340486,6,50
83,LSU,48.39209286419135,48.454395037385694,87,47.006111577760954,50.0,,,44.24703434946843,2025 starter (returning TBD),Garrett Nussmeier,55.82789974060107,41.0,0.0,89.83877671629695,0.0,47.208351573498994,52.727886541891706,5,50
84,Colorado,48.35152719886017,48.29497934672496,91,38.95370270952584,50.0,,,36.67239510545799,2025 starter (returning TBD),Kaidon Salter,49.165492577657126,42.0,0.0,68.48997200792483,85.0,49.425936389429324,52.56353875499797,6,50
85,Marshall,48.34372194389828,48.82869266422078,81,41.12240094543603,50.0,,,51.66394406810228,2025 starter (returning TBD),Carlos Del Rio-Wilson,47.49710085996031,27.0,0.0,44.937929074235285,85.0,39.12927825777087,46.57153452932612,6,50
86,Temple,48.27751583334372,48.605235544143085,84,40.825760674954125,50.0,,,52.09649517712397,2025 starter (returning TBD),Evan Simon,46.30017979767999,23.0,0.0,44.4295016209888,85.0,42.05084132815599,49.72654156288116,5,50
87,Tulsa,48.259695770884974,49.05173564871783,78,46.011473594550296,50.0,,,38.94925201010393,2025 starter (returning TBD),Baylor Hayes,45.909718838771695,21.0,0.0,47.253137288746146,85.0,33.210938092060715,43.127434625410324,6,50
88,UTEP,48.14699584713583,48.539298463054166,85,47.64787013922745,50.0,,,30.24904107612019,2025 starter (returning TBD),Skyler Locklear,47.428515831252895,21.0,0.0,45.16053098640171,85.0,40.69324614468734,47.48166498790717,6,50
89,Georgia Southern,48.04580812220043,48.39979604560585,88,41.0583896727473,50.0,,,48.71987956825684,2025 starter (returning TBD),JC French,44.53179638823957,17.0,0.0,48.24755838561523,85.0,41.32003757749745,47.84641798504374,6,50
90,Auburn,48.018279405098504,47.9090734602889,94,50.748752247684145,50.0,,,36.08339812092347,2025 starter (returning TBD),Jackson Arnold,50.181128151685336,38.0,0.0,86.29294888632066,0.0,50.093192356481104,54.40668153935513,5,50
91,Kansas State,47.92828122449813,48.399027827118346,89,54.14693185778779,50.0,,,45.04677517659262,2025 starter (returning TBD),Avery Johnson,46.07678185307371,26.0,0.0,68.92948848797766,0.0,38.98409577471407,47.941889486419086,5,50
92,Jacksonville State,47.84427459014837,48.21422827797598,93,48.2589085665781,50.0,,,36.99568382935522,2025 starter (returning TBD),Caden Creel,48.630277839486055,20.0,0.0,27.004862778795065,85.0,40.81515452142405,47.55260795786994,6,50
93,Florida,47.80613356841209,47.42005083392875,98,40.481865406501136,66.0,,,37.51776474595947,2025 starter (returning TBD),D.J. Lagway,46.66328019719228,27.0,0.0,87.64919513403176,0.0,55.14170552359571,55.889755122188696,6,50
94,Troy,47.778795025523955,48.3363910411912,90,44.64778387883636,50.0,,,37.36621081195118,2025 starter (returning TBD),Tucker Kilcrease,46.58373706947204,14.0,0.0,46.25660158946958,85.0,37.184470727846254,45.4397794697309,6,50
95,Buffalo,47.682362420720466,48.27708726792212,92,43.85902233650227,50.0,,,38.57470234295792,2025 starter (returning TBD),Ta'Quan Roberson,43.961811084800225,16.0,0.0,50.467871213940505,85.0,36.38259032388896,44.97313575799861,6,50
96,Eastern Michigan,47.364804631465674,47.853823837959254,95,42.261769283877705,50.0,,,43.062950346926,2025 starter (returning TBD),Noah Kim,43.86141851395729,11.0,0.0,45.82271879596554,85.0,38.07343970808758,45.95710322837056,6,50
97,Utah State,47.360843868707285,47.351355731148246,100,49.41097668506151,28.0,,,50.89016674107952,2025 starter (returning TBD),Bryson Barnes,47.016205575113496,29.0,0.0,47.89381922973014,85.0,47.54111848232907,50.673143690087684,6,50
98,Wyoming,47.23075320372595,47.40647164811998,99,44.394646748931706,50.0,,,30.70645018718041,2025 starter (returning TBD),Kaden Anderson,45.95811094808579,19.0,0.0,47.09295732897067,85.0,43.8921027602394,49.34319735235201,6,50
99,Kent State,46.94406474027542,46.95979332829858,104,38.830639171513575,50.0,,,49.22897127663861,2025 starter (returning TBD),Dru Deshields,40.392518992426204,11.0,0.0,45.30439374268305,85.0,46.64522156783547,49.49049649983456,7,50
100,South Alabama,46.9411631327981,47.572956084936756,96,40.78623848998834,50.0,,,45.05605899622127,2025 starter (returning TBD),Bishop Davenport,43.10932175659513,12.0,0.0,46.89331942484916,85.0,34.937097042163686,44.1319500313746,6,50
101,Delaware,46.88574206141511,47.142412295489486,102,43.00792198130614,50.0,,,52.80364890912558,2025 starter (returning TBD),Nick Minicucci,42.5983460779146,13.0,0.0,21.07808137964158,85.0,42.00900761400202,48.247354999491534,6,50
102,Arkansas State,46.85808197888683,47.425807956048864,97,36.914060261263344,50.0,,,45.37379850260175,2025 starter (returning TBD),Jaylen Raynor,46.103447650043194,24.0,0.0,57.86744851859635,85.0,36.0712884128084,44.791977721788854,6,50
103,Liberty,46.675067123474584,47.321135897573946,101,44.01234678358375,50.0,,,32.10832867830839,2025 starter (returning TBD),Ethan Vasko,45.38852274376197,26.0,0.0,46.361325158346595,85.0,34.39976041558675,43.81925407741671,6,50
104,App State,46.58436184282911,47.0471409320581,103,41.194836272651465,50.0,,,33.05281961671414,2025 starter (returning TBD),AJ Swann,49.02264468117062,37.0,0.0,49.47485459880527,85.0,37.79155914747837,45.7930665585396,6,50
105,Tulane,46.486232665826556,46.73946159798364,105,50.310003175063706,50.0,,,48.1765955477923,2025 starter (returning TBD),Jake Retzlaff,47.7717252079071,20.0,0.0,59.195292753579686,0.0,41.674882954842055,48.05291556642615,6,50
106,Colorado State,46.32111304269447,46.46003001586433,108,36.23613099463521,50.0,,,39.556612026693166,2025 starter (returning TBD),Jackson Brousseau,48.798735721981515,31.0,0.0,54.721445644343056,85.0,43.68169055246727,50.01430092078449,5,50
107,West Virginia,46.28568661824005,46.466937311386964,107,35.00894072964274,50.0,,,35.1684934965868,2025 starter (returning TBD),Scotty Fox Jr.,45.41372220304409,34.0,0.0,70.98587188184793,85.0,42.8419234484485,51.64174334191211,4,50
108,Purdue,46.05194963691882,45.88713895683113,111,35.86875554042852,50.0,,,32.28381248005994,2025 starter (returning TBD),Ryan Browne,45.51938161867068,29.0,0.0,64.53402387956653,85.0,49.183352558585035,53.87721228399396,5,50
109,Middle Tennessee,45.963986956922604,46.62501781376554,106,41.1525594229138,50.0,,,40.208784003915845,2025 starter (returning TBD),Nick Vattiato,43.93248767938773,19.0,0.0,40.27585345810945,85.0,33.404400676906775,43.24001762186262,6,50
110,Air Force,45.928251152516886,46.06803787914635,110,36.23341209936451,50.0,,,51.13463238361818,2025 starter (returning TBD),Liam Szarka,50.0,,,31.20982330471588,85.0,43.27230334655715,50.437355254291795,5,50
111,Army,45.88976215079122,46.34846125794266,109,46.68783713666894,50.0,,,26.9151844887139,2025 starter (returning TBD),Cale Hellums,50.0,,,25.130913232071563,85.0,37.17447911491392,46.8888069684097,5,50
112,California,45.40047166025852,45.67205384279534,112,47.01197844133301,50.0,,,46.23918052873429,2025 starter (returning TBD),Jaron-Keawe Sagapolutele,49.89412794755733,32.0,0.0,61.20180297481464,0.0,40.240410192059,48.67298507114652,5,50
113,New Mexico State,45.28415098768829,45.56862130438717,113,42.3560872166232,50.0,,,29.92674110878979,2025 starter (returning TBD),Logan Fife,45.712710666696026,25.0,0.0,35.66349642031639,85.0,39.87921497040955,47.00795029584567,6,50
114,Wisconsin,45.24262306118746,45.5173955739976,114,37.56075723107829,50.0,,,17.792841708663207,2025 starter (returning TBD),Hunter Simmons,46.30555685295534,33.0,0.0,73.4945509260649,85.0,40.021945317794845,48.545852322538806,5,50
115,Akron,44.99739277996265,45.40185622401049,115,38.571254515013855,50.0,,,37.41308325436115,2025 starter (returning TBD),Ben Finley,46.472152131631624,15.0,0.0,38.06298911085763,85.0,37.312587343053885,45.51433524208801,6,50
116,Louisiana,44.75408674500172,45.39721315154765,116,38.73601005703185,50.0,,,36.771588677268184,2025 starter (returning TBD),D'Wayne' Winfield,39.22790998663153,5.0,0.0,47.30459167592232,85.0,32.53468502062901,42.73389808085092,6,50
117,Nevada,44.62425906923852,44.78428855505764,119,37.69090641344376,50.0,,,29.23185514057725,2025 starter (returning TBD),Carter Jones,50.0611806784946,14.0,0.0,42.36645247350884,85.0,41.58369883867526,47.99985217416826,6,50
118,Western Michigan,44.58864951818704,45.039097743839484,118,45.699894876053214,31.0,,,40.60250640727314,2025 starter (returning TBD),Broc Lowry,44.53768443789309,14.0,0.0,47.701380467084924,85.0,36.03013323079075,44.76802800709455,6,50
