rank_v2,team,power_index_v2,team_strength_rating,strength_rank,prior_year_team_quality_score,returning_production_score,offense_returning_production,defense_returning_production,qb_score,qb_status,projected_qb,transfer_impact_score,transfer_count,projected_transfer_starters,recruiting_talent_score,coaching_continuity_score,schedule_strength_score,avg_opponent_rating,road_games,context_score
1,Notre Dame,70.73509162476292,72.82866195437701,1,75.63244296868045,72.0,,,61.81961727702093,2025 starter (returning TBD),C.J. Carr,62.89997876037785,7.0,0.0,89.46902335424609,85.0,30.957255362095452,43.27077570792778,5,50
2,Ohio State,68.48515820214082,69.64849066949272,2,77.07274279047606,50.0,,,75.30349642469318,2025 starter (returning TBD),Julian Sayin,52.01941248731078,17.0,0.0,93.7780667457149,85.0,46.3818413224549,52.24690981590035,5,50
3,Oregon,66.94006008059051,68.2119869903748,3,69.67808016104418,65.0,,,63.334165946742004,2025 starter (returning TBD),Dante Moore,51.050775227712165,13.0,0.0,90.73602685137935,85.0,42.77344879468871,50.147053435529756,5,50
4,Texas Tech,65.99604541595649,67.80515899354198,4,73.26539529459407,65.0,,,60.16988510700479,2025 starter (returning TBD),Behren Morton,51.56260104428547,21.0,0.0,74.31707966859784,85.0,31.622887441832333,43.65813150662746,5,50
5,Georgia,64.16036489057142,65.02658247289193,5,59.1742176948899,67.0,,,59.048031245292904,2025 starter (returning TBD),Gunner Stockton,53.580269898865176,9.0,0.0,97.13108020892744,85.0,47.70223082648152,54.47013503704817,4,50
6,Indiana,62.699574647138085,63.65498703746385,6,67.9482659448132,50.0,,,71.73937855023048,2025 starter (returning TBD),Fernando Mendoza,52.43427316842533,17.0,0.0,67.35239827544802,85.0,44.54673923094878,52.633838373340375,4,50
7,North Dakota State,61.30719519671175,62.47373349646831,7,79.19793488695024,50.0,,,70.44656819403271,2025 starter (returning TBD),Cole Payton,40.00976027634213,3.0,0.0,21.577567503677244,85.0,39.14296750133713,46.57950080384417,6,50
8,USC,61.0810986823431,61.8278482506894,9,64.83563964641414,50.0,,,60.16391637436262,2025 starter (returning TBD),Jayden Maiava,49.670913173718986,9.0,0.0,80.09025849518207,85.0,46.892856883763386,52.544288573512,5,50
9,Vanderbilt,61.06609765827481,61.9143087995978,8,66.47231607086958,50.0,,,66.1674224468342,2025 starter (returning TBD),Diego Pavia,47.11401869188528,18.0,0.0,68.14737715006154,85.0,44.95008597313781,51.413718697622976,5,50
10,Tennessee,60.444517109861174,61.14876320995519,10,62.18334693632891,50.0,,,58.608289726950986,2025 starter (returning TBD),Joey Aguilar,48.63528274854612,21.0,0.0,87.25788224566986,85.0,47.06384120807468,52.64379064308609,5,50
11,Miami,60.14390956988416,60.97856071282415,11,58.35807066622869,50.0,,,62.70079013841691,2025 starter (returning TBD),Carson Beck,54.40502623985792,13.0,0.0,88.6213812925885,85.0,44.28553785402409,51.026993695493545,5,50
12,Alabama,59.8553297904873,60.40015783123428,13,57.54040210237779,50.0,,,58.70696139560238,2025 starter (returning TBD),Ty Simpson,49.657183385143604,17.0,0.0,97.25569372317113,85.0,49.50359701629474,54.06357431712242,5,50
13,Washington,59.83908046980229,60.54132367167503,12,65.89800906313968,50.0,,,57.88475683658238,2025 starter (returning TBD),Demond Williams Jr.,45.52076714466002,14.0,0.0,68.77133476420617,85.0,46.496459634220344,52.313610428823125,5,50
14,Texas A&M,59.75674829424109,60.3846185891661,14,52.48415058180837,64.0,,,54.214936911184374,2025 starter (returning TBD),Marcel Reed,50.08414972924923,19.0,0.0,90.39659442259779,85.0,47.82721269066567,53.08802459656454,5,50
15,Texas,59.57379933206901,59.97446195353423,16,57.91574846361693,50.0,,,53.9195004904944,2025 starter (returning TBD),Arch Manning,52.18160226501233,22.0,0.0,94.58408260288776,85.0,51.96120952423005,55.49374946174874,5,50
16,Florida State,59.331807040386614,60.04003426940933,15,64.53952788806681,50.0,,,46.02180977688077,2025 starter (returning TBD),Thomas Castellanos,47.852654896591275,22.0,0.0,83.64143915288327,85.0,45.8754896889549,51.95224516948665,5,50
17,Oklahoma,58.56853003715462,59.23804776116939,18,55.00175513470072,64.0,,,39.94910408500673,2025 starter (returning TBD),John Mateer,48.453587400589704,16.0,0.0,89.20349807132351,85.0,45.84769328087421,51.936069416873686,5,50
18,SMU,58.17119660682527,58.92854779851942,19,63.848296170268846,50.0,,,56.86955336752498,2025 starter (returning TBD),Kevin Jennings,47.065879926614905,14.0,0.0,58.178529402935794,85.0,43.78152396463644,50.7336894683946,5,50
19,Toledo,58.09940420565654,59.48335652071846,17,68.24913042418207,50.0,,,50.64781021322604,2025 starter (returning TBD),Tucker Gleason,48.24654568868102,33.0,0.0,53.370015647044696,85.0,31.804310219480357,43.76370809627432,5,50
